MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id,TimeStamp
00:1B:10:18:4C:36,2020-05-05 02:00:00,35.939998626708984,28.9865787,41.02982,16.704,20,9160,1588644000000000000
00:1B:10:18:33:47,2020-05-05 02:00:00,36.0,0.0,0.0,0.0,34,9496,1588644000000000000
00:1B:10:18:35:6C,2020-05-05 02:00:00,26.899999618530273,28.8999656,41.0258875,13.94,30,9076,1588644000000000000
00:1B:10:18:2D:73,2020-05-05 02:00:00,36.459999084472656,28.9175262,41.0847518,30.771,49,9452,1588644000000000000
00:1B:10:18:3A:37,2020-05-05 02:00:00,36.41999816894531,28.8426473,41.0587063,28.483,56,10781,1588644000000000000
00:1B:10:18:41:6E,2020-05-05 02:00:00,36.369998931884766,28.8221309,41.0538742,16.175,73,10775,1588644000000000000
00:1B:10:18:1D:0C,2020-05-05 02:10:00,36.31999969482422,28.7618027,41.0473419,23.384,24,10794,1588644600000000000
00:1B:10:18:3C:CC,2020-05-05 02:10:00,27.0,28.8425347,41.0584505,17.035,54,10796,1588644600000000000
00:1B:10:18:48:89,2020-05-05 02:10:00,36.400001525878906,28.8425172,41.0589292,19.04,57,10788,1588644600000000000
00:1B:10:18:50:2F,2020-05-05 02:10:00,36.43000030517578,28.8226505,41.0538797,12.372,26,10784,1588644600000000000
00:1B:10:18:33:47,2020-05-05 02:10:00,36.0,0.0,0.0,0.0,34,9517,1588644600000000000
00:1B:10:18:2E:3C,2020-05-05 02:10:00,36.34000015258789,28.8463724,41.0400267,8.576,59,9165,1588644600000000000
00:1B:10:18:41:6E,2020-05-05 02:10:00,36.36000061035156,28.8221309,41.0538742,16.175,73,10797,1588644600000000000
00:1B:10:18:3A:37,2020-05-05 02:10:00,36.4900016784668,28.8426915,41.0587061,23.063,56,10803,1588644600000000000
00:1B:10:18:3F:41,2020-05-05 02:10:00,36.36000061035156,28.8497041,41.0068129,20.017,50,9092,1588644600000000000
00:1B:10:18:35:6C,2020-05-05 02:10:00,26.899999618530273,28.8999602,41.0258805,12.204,30,9096,1588644600000000000
00:1B:10:18:3A:37,2020-05-05 02:20:00,36.41999816894531,28.842485,41.0581961,12.732,56,10825,1588645200000000000
00:1B:10:18:48:89,2020-05-05 02:20:00,36.41999816894531,28.8432578,41.0587623,16.7,57,10810,1588645200000000000
00:1B:10:18:50:2F,2020-05-05 02:20:00,36.439998626708984,28.8224818,41.0537052,12.871,26,10806,1588645200000000000
00:1B:10:18:33:47,2020-05-05 02:20:00,36.0,0.0,0.0,0.0,34,9539,1588645200000000000
00:1B:10:18:3F:41,2020-05-05 02:20:00,36.349998474121094,28.8496981,41.0068346,19.419,50,9113,1588645200000000000
00:1B:10:18:1D:0C,2020-05-05 02:20:00,35.84000015258789,28.7617865,41.0472949,14.199,24,10816,1588645200000000000
00:1B:10:18:35:6C,2020-05-05 02:20:00,26.899999618530273,28.8999719,41.0258901,12.911,30,9118,1588645200000000000
00:1B:10:18:41:6E,2020-05-05 02:20:00,36.36000061035156,28.8222085,41.053806,34.311,73,10818,1588645200000000000
00:1B:10:18:3C:CC,2020-05-05 02:20:00,27.270000457763672,28.8425375,41.0584392,33.406,54,10817,1588645200000000000
00:1B:10:18:31:A1,2020-05-05 02:30:00,36.41999816894531,28.8453931,41.0476363,35.376,67,9153,1588645800000000000
00:1B:10:18:35:6C,2020-05-05 02:30:00,26.899999618530273,28.8999722,41.0258861,12.562,30,9142,1588645800000000000
00:1B:10:18:3F:41,2020-05-05 02:30:00,36.349998474121094,28.8497348,41.0068253,20.205,50,9138,1588645800000000000
