,MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id
344,00:1B:10:18:30:29,2020-05-01 15:29:44.477,35.0,29.0458704,41.131216,27.427,28,448
345,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,449
346,00:1B:10:18:1D:0C,2020-05-01 15:35:43.623,36.0,28.761768,41.0472855,14.85,24,450
348,00:1B:10:18:30:29,2020-05-01 15:33:05.017,35.0,29.0458599,41.1312901,20.439,28,452
352,00:1B:10:18:45:9B,2020-05-01 15:44:32.717,35.0,28.8235885,41.0545545,190.715,27,456
353,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,457
354,00:1B:10:18:45:9B,2020-05-01 15:45:32.707,35.0,28.8235885,41.0545545,190.715,27,458
355,00:1B:10:18:45:9B,2020-05-01 15:46:32.713,35.0,28.8227478,41.0541484,130.04,27,459
356,00:1B:10:18:1D:0C,2020-05-01 15:35:43.623,36.0,28.761768,41.0472855,14.85,24,460
357,00:1B:10:18:45:9B,2020-05-01 15:47:32.707,35.0,28.8227478,41.0541484,130.04,27,461
361,00:1B:10:18:30:29,2020-05-01 15:49:44.587,35.0,29.0458622,41.1312549,20.453,28,465
362,00:1B:10:18:45:9B,2020-05-01 15:50:32.710,35.0,28.8226626,41.0540819,54.713,27,466
363,00:1B:10:18:45:9B,2020-05-01 15:51:32.717,35.0,28.8226626,41.0540819,54.713,27,467
364,00:1B:10:18:45:9B,2020-05-01 15:52:32.713,35.0,28.8225459,41.0539143,61.797,27,468
365,00:1B:10:18:45:9B,2020-05-01 15:53:32.717,35.0,28.8225459,41.0539143,61.797,27,469
366,00:1B:10:18:45:9B,2020-05-01 15:54:32.707,35.0,28.8224761,41.0540387,28.777,27,470
367,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,471
368,00:1B:10:18:45:9B,2020-05-01 15:55:32.707,35.0,28.8224761,41.0540387,28.777,27,472
374,00:1B:10:18:30:29,2020-05-01 15:59:44.830,35.0,29.0458875,41.1312885,16.648,28,478
378,00:1B:10:18:45:9B,2020-05-01 16:03:32.717,35.0,28.8220706,41.0538667,28.504,27,482
379,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,483
380,00:1B:10:18:1D:0C,2020-05-01 15:35:43.623,36.0,28.761768,41.0472855,14.85,24,484
381,00:1B:10:18:43:B5,2020-05-01 16:07:58.883,36.0,29.0337294,41.1037397,15.334,29,485
382,00:1B:10:18:30:29,2020-05-01 16:09:44.670,35.0,29.045785,41.1312845,100.0,28,486
383,00:1B:10:18:45:9B,2020-05-01 16:13:04.737,35.0,28.8220706,41.0538667,28.504,27,487
384,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,488
385,00:1B:10:18:1D:0C,2020-05-01 15:35:43.623,36.0,28.761768,41.0472855,14.85,24,489
386,00:1B:10:18:43:B5,2020-05-01 16:17:58.840,36.0,29.0337294,41.1037397,15.334,29,490
387,00:1B:10:18:45:9B,2020-05-01 16:19:03.497,35.0,28.8220706,41.0538667,28.504,27,491
388,00:1B:10:18:30:29,2020-05-01 16:18:44.683,36.0,29.0458931,41.1312892,15.472,28,492
389,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,493
391,00:1B:10:18:43:B5,2020-05-01 16:27:34.463,35.0,29.0337294,41.1037397,15.334,29,495
392,00:1B:10:18:30:29,2020-05-01 16:29:44.820,36.0,29.045891,41.1312873,17.163,28,496
393,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,497
394,00:1B:10:18:1D:0C,2020-05-01 16:36:08.687,35.0,28.7617959,41.0472966,13.492,24,498
395,00:1B:10:18:43:B5,2020-05-01 16:38:00.093,35.0,29.0337294,41.1037397,15.334,29,499
396,00:1B:10:18:45:9B,2020-05-01 16:38:55.183,35.0,28.8220706,41.0538667,28.504,27,500
397,00:1B:10:18:30:29,2020-05-01 16:39:44.667,36.0,29.0458987,41.1312913,17.515,28,501
398,00:1B:10:18:45:9B,2020-05-01 16:39:53.150,35.0,29.0351767,41.1684622,19.0,27,502
399,00:1B:10:18:45:9B,2020-05-01 16:41:23.343,35.0,29.0352544,41.1684002,12.403,27,503
400,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,504
401,00:1B:10:18:1D:0C,2020-05-01 16:46:08.713,35.0,28.7617975,41.0472966,12.954,24,505
402,00:1B:10:18:43:B5,2020-05-01 16:47:20.957,35.0,29.0337294,41.1037397,15.334,29,506
403,00:1B:10:18:30:29,2020-05-01 16:49:45.297,35.0,29.0458976,41.1312809,16.106,28,507
405,00:1B:10:18:45:9B,2020-05-01 16:42:08.337,35.0,29.0352544,41.1684002,12.403,27,509
406,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,510
407,00:1B:10:18:1D:0C,2020-05-01 16:56:09.120,35.0,28.7617984,41.0472916,13.194,24,511
408,00:1B:10:18:43:B5,2020-05-01 16:58:00.763,35.0,29.0337294,41.1037397,15.334,29,512
409,00:1B:10:18:30:29,2020-05-01 16:59:44.737,36.0,29.0458795,41.1312673,17.292,28,513
410,00:1B:10:18:45:9B,2020-05-01 17:03:01.230,35.0,29.0352544,41.1684002,12.403,27,514
411,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,515
412,00:1B:10:18:1D:0C,2020-05-01 17:05:18.050,35.0,28.7617965,41.0472975,14.129,24,516
413,00:1B:10:18:43:B5,2020-05-01 17:07:40.373,35.0,29.0337294,41.1037397,15.334,29,517
414,00:1B:10:18:30:29,2020-05-01 17:09:35.627,36.0,29.0458971,41.1312883,15.241,28,518
415,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,519
416,00:1B:10:18:1D:0C,2020-05-01 17:15:08.517,36.0,28.7617942,41.0472955,13.68,24,520
417,00:1B:10:18:45:9B,2020-05-01 17:17:54.190,35.0,29.0352544,41.1684002,12.403,27,521
418,00:1B:10:18:43:B5,2020-05-01 17:18:00.937,35.0,29.0337431,41.1037363,16.141,29,522
419,00:1B:10:18:30:29,2020-05-01 17:14:59.690,35.0,29.0458815,41.1312898,20.518,28,523
420,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,524
421,00:1B:10:18:1D:0C,2020-05-01 17:20:13.257,36.0,28.7617981,41.0472942,13.46,24,525
422,00:1B:10:18:45:9B,2020-05-01 17:18:03.237,35.0,29.0352544,41.1684002,12.403,27,526
423,00:1B:10:18:43:B5,2020-05-01 17:28:01.043,36.0,29.0337232,41.1038718,33.6,29,527
424,00:1B:10:18:30:29,2020-05-01 17:14:59.690,35.0,29.0458815,41.1312898,20.518,28,528
425,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,529
426,00:1B:10:18:1D:0C,2020-05-01 17:20:13.257,36.0,28.7617981,41.0472942,13.46,24,530
427,00:1B:10:18:43:B5,2020-05-01 17:38:01.000,35.0,29.0337232,41.1038718,33.6,29,531
429,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,533
430,00:1B:10:18:1D:0C,2020-05-01 17:46:08.427,36.0,28.7617974,41.0472974,13.461,24,534
431,00:1B:10:18:43:B5,2020-05-01 17:48:00.957,35.0,29.0337232,41.1038718,33.6,29,535
432,00:1B:10:18:45:9B,2020-05-01 17:48:39.137,35.0,29.0352544,41.1684002,12.403,27,536
434,00:1B:10:18:45:9B,2020-05-01 17:53:51.590,35.0,29.0352544,41.1684002,12.403,27,538
435,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,539
436,00:1B:10:18:1D:0C,2020-05-01 17:56:08.513,36.0,28.7617812,41.0472902,13.758,24,540
437,00:1B:10:18:43:B5,2020-05-01 17:58:00.913,36.0,29.0337232,41.1038718,33.6,29,541
438,00:1B:10:18:45:9B,2020-05-01 17:59:15.903,35.0,29.0352544,41.1684002,12.403,27,542
